BIG_MESSAGE.EXTRACTION.ACTIVATED	Ponto de extração ativado
ENEMY.BIRTHDAY_BOY	Aniversariante
ENEMY.BOMB_THROWER	Equipe de Limpeza
ENEMY.BOWTIE	Gravata-Borboleta
ENEMY.CEILING_EYE	Olheiro
ENEMY.DUCK	Predador Alfa
ENEMY.ELSA	Elsa
ENEMY.FLOATER	Mentalista
ENEMY.GNOME	Gnomo
ENEMY.HEAD	Cabeçudo
ENEMY.HEAD_GRABBER	Agarrador de Cabeça
ENEMY.HEART_HUGGER	Abraçador
ENEMY.HIDDEN	Escondido
ENEMY.HUNTER	Caçador
ENEMY.OOGLY	Oogly
ENEMY.ROBE	Manto
ENEMY.RUNNER	Ceifador
ENEMY.SHADOW	Sombra
ENEMY.SLOW_MOUTH	Cuspidor
ENEMY.SLOW_WALKER	Arrastado
ENEMY.SPINNY	Gambit
ENEMY.THIN_MAN	Criança Sombra
ENEMY.TICK	Carrapato
ENEMY.TRICYCLE	Bella
ENEMY.TUMBLER	Chef
ENEMY.UPSCREAM	Gritador
ENEMY.VALUABLE_THROWER	Pirralho
UPGRADE_STAND.INTERACT	Segure para sortear de novo ({cost})
ARENA.WINNER.KING	Rei dos Perdedores!
ARENA.WINNER.LOSERS	Todo mundo perdeu!
ARENA.MESSAGE.LAST_LOSER_STANDING	Último perdedor de pé
ARENA.MESSAGE.GAME_OVER	Fim de jogo
SPECTATE_LIST.HEADER	Os quebrados:
ITEM.CART.MODE_STRONG	Modo: Forte
ITEM.CART.MODE_WEAK	Modo: Fraco
